Մակնիշ,Մոդել,Գին(դրամ),Տարի,Վազքը,Մոդիֆիկացիան,Թափքը,Փոխանցման տուփը,Ղեկը,Շարժիչը,Գույնը,Սրահի գույնը,Շարժիչի ծավալը,Ձիաուժը,Մխոցների քանակը,Քարշակը,Դռների քանակը,Անվահեծերը,Մոտոժամը,"Բեռնատարողությունը, կգ / տ",Տեղադրված է
Volkswagen,Touareg ,5760000,2008,140000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Բեժ ,3.6,,6,Լիաքարշակ,5,"19""",,,17.01.2021
Mercedes-Benz,S 550 ,Պայ,2011,120000  կմ ,ANTERI VICHAK...FULL,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,5.5,388,8,Լիաքարշակ,,,,,17.01.2021
Hyundai,Elantra ,3504000,2012,150000  մղոն ,1.8 Doj mator,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մոխրագույն,1.8,150,4,Առջևի,5,"16""",,,17.01.2021
VAZ(Lada),2110 ,Պայ,1966,111  կմ ,,Սեդան,Մեխանիկական,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Toyota,Camry ,5856000,2015,55000  մղոն ,Se,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,17.01.2021
Mercedes-Benz,E 200 ,2352000,2001,350000  կմ ,Kompressor,Սեդան,Մեխանիկական,Ձախ,Գազ,Սև,,,,,,,,,,17.01.2021
VAZ(Lada),2115 ,792000,2004,320000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Սև,,,,,,,,,,17.01.2021
BMW,X5 ,3120000,2005,297000  կմ ,3.0,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,Շագանակագույն,3.0,231,4,Լիաքարշակ,5,"17""",,,17.01.2021
Niva,4x4 Urban ,4416000,2018,20000  կմ ,Luxe polni full,Ամենագնաց,Մեխանիկական,Ձախ,Բենզին,Սև,,,,,,,,,,17.01.2021
BMW,330 ,Պայ,2004,210000  կմ ,330I,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,,3.0,228,6,Ետևի,4,"17""",,,17.01.2021
Mercedes-Benz,G 550 ,16800000,1998,178000  կմ ,Զրահապատ B7,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,5.0,299,8,,5,"18""",,,17.01.2021
Mazda,6 ,3264000,2009,95000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
BMW,X5 ,7680000,2011,200000  կմ ,X drive,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Շագանակագույն,3.0,,6,Լիաքարշակ,5,"18""",,,17.01.2021
Nissan,Altima ,3264000,2013,116000  մղոն ,2.5,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,17.01.2021
Toyota,Camry ,4176000,2010,113000  կմ ,"XLE, AMENAFULLNA",Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Toyota,Camry ,3600000,2009,90000  մղոն ,LE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Բեժ ,2.5,,,Առջևի,5,"17""",,,17.01.2021
Lexus,RX 270 ,12000000,2015,43000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Mitsubishi,Pajero ,4800000,2008,174634  կմ ,"3,0 V6",Ունիվերսալ,Ավտոմատ,Ձախ,Գազ,Սև,,3.0,180,6,Լիաքարշակ,5,"20""",,,17.01.2021
Mercedes-Benz,A 180 ,2496000,2010,44800  կմ ,A180 Japan 4BB,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Nissan,Maxima ,4320000,2010,140000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,17.01.2021
Ford,Fusion ,5040000,2013,128000  կմ ,Titanium 2.0,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,2.0,231,,Առջևի,4,"18""",,,17.01.2021
Ford,Courier ,960000,1999,220000  կմ ,,,Մեխանիկական,Ձախ,Գազ,Սպիտակ,,,60,4,Առջևի,4,,,,17.01.2021
Kia,Sportage ,5184000,2012,120000  մղոն ,2.4 4x4,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Սև,2.4,176,4,Լիաքարշակ,4,"17""",,,17.01.2021
